,gt_value,date,region,date_obtained,term_topic
147,7.0,2016-02-01,CH-AG,2021-05-29.xlsx,meth
148,0.0,2004-01-01,CH-AG,2021-03-27.xlsx,meth
149,0.0,2004-02-01,CH-AG,2021-03-27.xlsx,meth
150,0.0,2004-03-01,CH-AG,2021-03-27.xlsx,meth
151,0.0,2004-04-01,CH-AG,2021-03-27.xlsx,meth
152,0.0,2004-05-01,CH-AG,2021-03-27.xlsx,meth
153,0.0,2004-06-01,CH-AG,2021-03-27.xlsx,meth
154,0.0,2004-07-01,CH-AG,2021-03-27.xlsx,meth
155,0.0,2004-08-01,CH-AG,2021-03-27.xlsx,meth
156,0.0,2004-09-01,CH-AG,2021-03-27.xlsx,meth
157,0.0,2004-10-01,CH-AG,2021-03-27.xlsx,meth
158,0.0,2004-11-01,CH-AG,2021-03-27.xlsx,meth
159,0.0,2004-12-01,CH-AG,2021-03-27.xlsx,meth
160,0.0,2005-01-01,CH-AG,2021-03-27.xlsx,meth
161,0.0,2005-02-01,CH-AG,2021-03-27.xlsx,meth
162,0.0,2005-03-01,CH-AG,2021-03-27.xlsx,meth
163,0.0,2005-04-01,CH-AG,2021-03-27.xlsx,meth
164,0.0,2005-05-01,CH-AG,2021-03-27.xlsx,meth
165,0.0,2005-06-01,CH-AG,2021-03-27.xlsx,meth
166,0.0,2005-07-01,CH-AG,2021-03-27.xlsx,meth
167,0.0,2005-08-01,CH-AG,2021-03-27.xlsx,meth
168,0.0,2005-09-01,CH-AG,2021-03-27.xlsx,meth
169,0.0,2005-10-01,CH-AG,2021-03-27.xlsx,meth
170,0.0,2005-11-01,CH-AG,2021-03-27.xlsx,meth
171,0.0,2005-12-01,CH-AG,2021-03-27.xlsx,meth
172,0.0,2006-01-01,CH-AG,2021-03-27.xlsx,meth
173,0.0,2006-02-01,CH-AG,2021-03-27.xlsx,meth
174,0.0,2006-03-01,CH-AG,2021-03-27.xlsx,meth
175,0.0,2006-04-01,CH-AG,2021-03-27.xlsx,meth
176,0.0,2006-05-01,CH-AG,2021-03-27.xlsx,meth
177,0.0,2006-06-01,CH-AG,2021-03-27.xlsx,meth
178,0.0,2006-07-01,CH-AG,2021-03-27.xlsx,meth
179,0.0,2006-08-01,CH-AG,2021-03-27.xlsx,meth
180,0.0,2006-09-01,CH-AG,2021-03-27.xlsx,meth
181,0.0,2006-10-01,CH-AG,2021-03-27.xlsx,meth
182,0.0,2006-11-01,CH-AG,2021-03-27.xlsx,meth
183,0.0,2006-12-01,CH-AG,2021-03-27.xlsx,meth
184,0.0,2007-01-01,CH-AG,2021-03-27.xlsx,meth
185,0.0,2007-02-01,CH-AG,2021-03-27.xlsx,meth
186,0.0,2007-03-01,CH-AG,2021-03-27.xlsx,meth
187,0.0,2007-04-01,CH-AG,2021-03-27.xlsx,meth
188,0.0,2007-05-01,CH-AG,2021-03-27.xlsx,meth
189,0.0,2007-06-01,CH-AG,2021-03-27.xlsx,meth
190,0.0,2007-07-01,CH-AG,2021-03-27.xlsx,meth
191,0.0,2007-08-01,CH-AG,2021-03-27.xlsx,meth
192,0.0,2007-09-01,CH-AG,2021-03-27.xlsx,meth
193,0.0,2007-10-01,CH-AG,2021-03-27.xlsx,meth
194,0.0,2007-11-01,CH-AG,2021-03-27.xlsx,meth
