"term","extraction_date","count"
"amoxicillin",2022-04-11,118
"amoxicillin",2022-04-12,118
"amoxicillin",2022-04-13,118
"amoxicillin",2022-04-14,118
"amoxicillin",2022-04-19,118
"amoxicillin",2022-04-20,118
"amoxicillin",2022-04-21,118
"amoxicillin",2022-04-22,118
"amoxicillin",2022-04-23,118
"amoxicillin",2022-04-26,118
"amoxicillin",2022-04-27,118
"amoxicillin",2022-04-28,118
"amoxicillin",2022-04-29,118
"amoxicillin",2022-04-30,118
"amoxicillin",2022-05-01,118
"amoxicillin",2022-05-05,118
"amoxicillin",2022-05-06,118
"amoxicillin",2022-05-07,118
"amoxicillin",2022-05-08,118
"amoxicillin",2022-05-09,118
"amoxicillin",2022-05-10,118
"amoxicillin",2022-05-11,118
"amoxicillin",2022-05-12,118
"amoxicillin",2022-05-14,118
"amoxicillin",2022-05-15,118
"early signs of the flu",2021-03-26,118
"early signs of the flu",2021-03-27,118
"early signs of the flu",2021-03-28,118
"early signs of the flu",2021-03-29,118
"early signs of the flu",2021-03-30,118
"early signs of the flu",2021-03-31,118
"early signs of the flu",2021-04-01,118
"early signs of the flu",2021-04-02,118
"early signs of the flu",2021-04-03,118
"early signs of the flu",2021-04-04,118
"early signs of the flu",2021-04-05,118
"early signs of the flu",2021-04-06,118
"early signs of the flu",2021-04-07,118
"early signs of the flu",2021-04-08,118
"early signs of the flu",2021-04-09,118
"early signs of the flu",2021-04-10,118
"early signs of the flu",2021-04-11,118
"early signs of the flu",2021-04-12,118
"early signs of the flu",2021-04-13,118
"early signs of the flu",2021-04-14,118
"early signs of the flu",2021-04-15,118
"early signs of the flu",2021-04-16,118
"early signs of the flu",2021-04-17,118
"early signs of the flu",2021-04-18,118
"early signs of the flu",2021-04-19,118
"early signs of the flu",2021-04-20,118
"early signs of the flu",2021-04-21,118
"early signs of the flu",2021-04-22,118
"early signs of the flu",2021-04-24,118
"early signs of the flu",2021-04-25,118
"early signs of the flu",2021-04-26,118
"early signs of the flu",2021-04-27,118
"early signs of the flu",2021-04-28,118
"early signs of the flu",2021-04-29,118
"early signs of the flu",2021-04-30,118
"early signs of the flu",2021-05-01,118
"early signs of the flu",2021-05-02,118
"early signs of the flu",2021-05-03,118
"early signs of the flu",2021-05-06,118
"early signs of the flu",2021-05-07,118
"early signs of the flu",2021-05-08,118
"early signs of the flu",2021-05-09,118
"early signs of the flu",2021-05-10,118
"early signs of the flu",2021-05-11,118
"early signs of the flu",2021-05-12,118
"early signs of the flu",2021-05-13,118
"early signs of the flu",2021-05-14,118
"early signs of the flu",2021-05-15,118
"early signs of the flu",2021-05-16,118
"early signs of the flu",2021-05-17,118
"early signs of the flu",2021-05-18,118
"early signs of the flu",2021-05-19,118
"early signs of the flu",2021-05-20,118
"early signs of the flu",2021-05-21,118
"early signs of the flu",2021-05-22,118
